,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP26Z6,26,6,0.0501583,0.0963916,4.20395,0.5203596578955013,2.3680811848231587
fuelP27Z6,27,6,0.0443167,0.0963916,7.32235,0.45975686678092287,3.810255540991124
fuelP28Z6,28,6,0.0399235,0.0963916,6.80962,0.41418028126932227,3.130769555168708
fuelP29Z6,29,6,0.0334205,0.0963916,12.741,0.3467158964059109,5.277070963652435
fuelP30Z6,30,6,0.027464,0.0963916,15.3525,0.2849210927093232,5.322955799571747
fuelP31Z6,31,6,0.0225578,0.0963916,16.6392,0.23402246668796867,4.74085904580897
fuelP32Z6,32,6,0.0173807,0.0963916,23.5247,0.180313429800937,5.505308322094456
fuelP33Z6,33,6,0.0132553,0.0963916,26.2078,0.1375150946762996,4.7256183055369965
fuelP34Z6,34,6,0.0102734,0.0963916,25.5723,0.10657982645790713,3.516577255590736
fuelP35Z6,35,6,0.00743109,0.0963916,34.1929,0.07709271347295822,3.644273348092573
fuelP36Z6,36,6,0.00541534,0.0963916,35.1218,0.05618062154793572,2.707634864054544
fuelP37Z6,37,6,0.00378608,0.0963916,41.8254,0.03927811137070035,2.349776968491031
fuelP38Z6,38,6,0.00261923,0.0963916,45.2134,0.027172803439303842,1.7758969606480233
fuelP39Z6,39,6,0.00193528,0.0963916,41.1348,0.02007726814369717,1.1177478349150756
fuelP40Z6,40,6,0.00166219,0.0963916,25.0928,0.017244137455960894,0.5037948740761644
fuelP41Z6,41,6,0.00151066,0.0963916,19.9934,0.015672112507728892,0.34476893781200857
fuelP42Z6,42,6,0.00144457,0.0963916,13.8557,0.014986471850244213,0.21714808927333923
fuelP43Z6,43,6,0.00144939,0.0963916,7.60435,0.015036476207470362,0.11396237721440458
fuelP44Z6,44,6,0.00141876,0.0963916,12.0398,0.014718709929080958,0.18103616624270166
fuelP45Z6,45,6,0.00136187,0.0963916,16.1266,0.014128513272940797,0.23736274754231698
fuelP46Z6,46,6,0.00137072,0.0963916,9.00716,0.014220326252495032,0.12725777961150145
fuelP47Z6,47,6,0.00140076,0.0963916,6.26004,0.014531971665580819,0.089019811153669
